SG latest contacted,Response?,,,,,,,,,,,,,,,,,,,
 ,,AbsenceSoft,"Golden, Colorado",2013,51-200,"AbsenceSoft is a proven provider of technology solutions to help employers more efficiently and cost-effectively manage FMLA, LOA, Disability, and ADA. Maintaining full compliance with the federal and ever-growing number of state and municipal leave laws is becoming increasingly difficult for organizations of all sizes. ","FMLA Management, Absence Consulting, Absence Management, Software Development, Disability Management i Accommodations and ADA/ADAA Management",Christian Ellis,50-55,0.1,https://www.linkedin.com/in/christianellisco/,,,John Huettel,50-55,0.75,https://www.linkedin.com/in/johnhuettel/,,,
9/27,,Accolade,"Plymouth Meeting, PA",2007,501-1000,"Accolade is a personalized health and benefits solution that dramatically improves the experience, outcomes and cost of healthcare for employers, health plans and their members.","Healthcare Process Improvement, Healthcare savings, Employee engagement, Personalized Advocacy, Health Advocacy i Employee Benefits",Eric Wilson,50-55,1,https://www.linkedin.com/in/ericswilson/,,,Rajeev Singh,45-55,4.75,https://www.linkedin.com/in/rsingh68/,,,
,,AdAlong,,2017,11-50 ,"AdAlong enables brands to unlock the power of visual social content created by consumers, fans and employees.","saas, btob, brand, creativity, ai, socialnetwork, facebook, instagram, twitter, video i community",Thomas Franquelin,35-40,1.25,https://www.linkedin.com/in/thomas-franquelin/,,,Clemence Demerliac,30-35,3.3,https://www.linkedin.com/in/clemencedemerliac/,,,
8/30,,Aera Technology,"Mountain View, California",2017,201-500,"Aera Technology delivers the Cognitive Operating System™ that enables the Self-Driving Enterprise™. Aera understands how businesses work; makes real-time recommendations; predicts outcomes; and acts autonomously. Using proprietary data crawling, industry models, machine learning and artificial intelligence, Aera is revolutionizing how people relate to data and how organizations function. ","machine learning, self-driving enterprise, cognitive automation, artificial intelligence, cloud software, data science, supply chain analytics, cloud ERP, sales , finance i deep learning",Frederic Laluyaux,50-55,3.3,https://www.linkedin.com/in/flaluyaux/,,,Frederic Laluyaux,50-55,3.3,https://www.linkedin.com/in/flaluyaux/,,,
,,agnos.ai,"London, London",2018,11-50,"agnos.ai is dedicated to unlocking the true value of enterprise data, using Knowledge Graph technology to tackle problems which are currently almost impossible to solve. ","Knowledge Graph, Enterprise Knowledge Graph, EKG, Semantic Technology, Data Architecture, Data Unification, Enterprise Data Unification, OWL, Ontology, RDF, SPARQL, SHACL, Linked Data, AI, ML, Machine Learning, Data Science, Banking i FIBO",Jacobus Geluk,55-60,1.75,https://www.linkedin.com/in/jgeluk/,,,nawet na stronie nie mają napisanego - różne osoby nadzorujące w różnych lokalizacjach,,,,,,
9/27,,Aisera,"Palo Alto, CA",2017,11-50,"Aisera helps make businesses and customers successful by offering consumer-like user experience for support and operations. We have built the world’s first AISM solution for IT, HR, Customer Service, Facilities, and IT/Cloud Operations.",,Antonio Nucci,45-50,0.5,https://www.linkedin.com/in/antonio-nucci-phd-aa6b70116/,,,"Muddu Sudhakar? tak twierdzi google, ale na linkedinie nie ma nic wspólnego z tą firmą",,,,,,
SG Contacted?,,Company,,,,,,,,,,,,,,,,,,
,,Akatana,"San Francisco, CA",2008,51-200,Aktana is a pioneer in intelligent engagement for the global life sciences industry. Its proprietary platform harnesses machine learning algorithms to enable marketing and sales teams to seamlessly coordinate and optimize multichannel engagement with healthcare professionals.,"sales force effectiveness, Sales force automation, pharma analytics, mobile, pharmaceutical, sales operations, Pharmaceutical multi-channel marketing, Agile Marketing, Decision Support, Artificial Intelligence, AI, Machine Learning, life sciences, Data Science, Marketing, Multi-channel marketing, Commercial Operations, SAAS, SalesForce, Veeva, SFDC, IQVIA, Veeva i life sciences",Jin Huang,40-50,5,https://www.linkedin.com/in/jinhuang11/,,,David Ehrlich,55-60,9,https://www.linkedin.com/in/davidjehrlich/,,,
8/30,,Apptopia,"Boston, MA",2011,11-50,"Apptopia is unique in its ability to also offer SDK recognition and analysis, category level analysis, and customizable industry reports. We also offer a full suite of user acquisition tools.","Business intelligence, Mobile app performance, App economy data, app analytics, mobile app data, mobile app intelligence, mobile competitive intelligence, mobile marketing i mobile market research",Sergey Balyuk,40-45,3.3,https://www.linkedin.com/in/sergeybalyuk/,https://github.com/bgipsy,,Eliran Sapir,30-35,8.5,https://www.linkedin.com/in/eliransapir/,,,
9/27,,Ardec LLC,"Texas, United States",1996,11-50,"Ardec multiplies your business and technology management capability. We can help you safely navigate...or disrupt a market. Based in Salt Lake City area, we have multiple practices to help you with Web, Salesforce, Risk and Security, Cloud Native, Internet of Things, and more.",,Erik Peterson,50-55,24.75,https://www.linkedin.com/in/erik-peterson-54a99b5/,,,<- jest też CEO,,,,,,
